id;region;fed_okr;tipnp;Q1;Q2;Q3;Q4;Q5;Q6;Q7;AGE;EDU;GENDER;PROF;INCOME
230;78;2;1;0;3;2;1;1;4;3;28;5;2;3;8
231;24;7;2;0;3;2;1;4;4;4;25;5;1;3;9
232;92;3;4;0;3;1;3;3;7;2;35;5;1;3;8
233;54;7;7;0;3;2;4;4;6;1;45;3;1;3;8
234;46;1;7;0;3;2;3;3;4;2;45;3;1;3;8
235;16;5;5;0;3;1;4;4;4;4;47;3;1;3;7
236;37;1;4;0;3;1;3;4;3;2;50;5;1;3;8
237;24;7;6;0;2;2;1;2;7;4;25;3;1;3;8
238;24;7;6;0;2;4;1;1;7;4;32;3;2;3;5
239;45;5;6;0;2;4;2;2;6;6;25;5;1;3;5
240;38;7;4;0;2;4;2;2;7;5;26;3;1;3;6
241;77;1;1;0;2;3;2;2;6;3;34;3;1;3;8
242;59;5;2;0;2;4;1;1;7;5;31;4;1;3;8
243;39;2;6;0;2;4;4;4;7;7;26;3;2;3;8
244;18;5;7;0;2;3;2;2;6;5;37;3;1;3;5
245;48;1;7;0;2;4;2;2;6;4;38;3;1;3;6
246;77;1;1;0;2;2;2;2;7;7;42;5;2;3;8
247;77;1;1;0;2;2;2;2;7;7;42;3;1;3;9
248;24;7;2;0;3;2;2;2;7;7;53;2;1;3;9
249;47;2;6;0;3;1;2;2;7;7;50;5;2;3;9
